abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_tank_volume,fuel_type,generation,kerb_weight,model,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase,hashtags,sentiment
1,Toyota,0,7,3,4,6,1,Hiace,0,Hiace,4,6,2,1,1,2,8,3,0,#toyotahiace|#hiace|#thiace|#hiacehiace|#toyotahiacehiace|#thiacehiace,0.069393939
1,Toyota,5,5,4,5,3,0,"Harrier III (XU60, facelift 2017)",4,Harrier,4,6,4,4,1,4,5,4,3,#toyotaharrier|#harrier|#tharrier|#harrierharrier|#toyotaharrierharrier|#tharrierharrier,0
1,Toyota,0,4,5,2,6,1,Hilux Extra Cab VIII (facelift 2017),6,Hilux,4,6,4,1,1,3,4,6,2,#toyotahilux|#hilux|#thilux|#hiluxhilux|#toyotahiluxhilux|#thiluxhilux,0.2875
1,Toyota,4,5,6,5,5,0,Highlander III (facelift 2016),6,Highlander,6,8,4,2,2,5,8,5,5,#toyotahighlander|#highlander|#thighlander|#highlanderhighlander|#toyotahighlanderhighlander|#thighlanderhighlander,0.330618687
1,Toyota,6,7,3,5,2,1,Innova II,5,Innova,4,5,4,3,1,3,5,4,5,#toyotainnova|#innova|#tinnova|#innovainnova|#toyotainnovainnova|#tinnovainnova,0.357142857
1,Toyota,5,1,0,3,0,0,iQ,0,iQ,4,6,4,1,1,1,4,0,0,#toyotaiq|#iq|#tiq|#iqiq|#toyotaiqiq|#tiqiq,-0.05
1,Toyota,5,0,2,4,1,0,Corolla XII (E210),2,Corolla,4,10,4,2,1,2,5,1,4,#toyotacorolla|#corolla|#tcorolla|#corollacorolla|#toyotacorollacorolla|#tcorollacorolla,0.207752525
1,Toyota,0,2,4,5,2,1,Corolla Verso III,3,Corolla Verso,4,6,4,1,1,3,7,5,3,#toyotacorollaverso|#corollaverso|#tcorollaverso|#corollaversocorolla|#toyotacorollaversocorolla|#tcorollaversocorolla,0
1,Toyota,3,0,6,4,4,2,Crown XV (S220),6,Crown,6,10,4,2,2,6,5,6,6,#toyotacrown|#crown|#tcrown|#crowncrown|#toyotacrowncrown|#tcrowncrown,0.5
1,Toyota,4,2,2,5,1,0,Auris II Touring Sports,1,Auris,4,6,4,1,1,2,5,1,2,#toyotaauris|#auris|#tauris|#aurisauris|#toyotaaurisauris|#taurisauris,0.183333333
